bounds[0],bounds[1],bounds[2],bounds[3],coordinates.latitude,coordinates.longitude,country.code,country.id,country.name,datetimeFirst,datetimeFirst.local,datetimeFirst.utc,datetimeLast,datetimeLast.local,datetimeLast.utc,distance,id,instruments[0].id,instruments[0].name,instruments[1].id,instruments[1].name,isMobile,isMonitor,licenses,licenses[0].attribution.name,licenses[0].attribution.url,licenses[0].dateFrom,licenses[0].dateTo,licenses[0].id,licenses[0].name,locality,name,owner.id,owner.name,provider.id,provider.name,sensors[0].id,sensors[0].name,sensors[0].parameter.displayName,sensors[0].parameter.id,sensors[0].parameter.name,sensors[0].parameter.units,sensors[1].id,sensors[1].name,sensors[1].parameter.displayName,sensors[1].parameter.id,sensors[1].parameter.name,sensors[1].parameter.units,sensors[2].id,sensors[2].name,sensors[2].parameter.displayName,sensors[2].parameter.id,sensors[2].parameter.name,sensors[2].parameter.units,sensors[3].id,sensors[3].name,sensors[3].parameter.displayName,sensors[3].parameter.id,sensors[3].parameter.name,sensors[3].parameter.units,sensors[4].id,sensors[4].name,sensors[4].parameter.displayName,sensors[4].parameter.id,sensors[4].parameter.name,sensors[4].parameter.units,sensors[5].id,sensors[5].name,sensors[5].parameter.displayName,sensors[5].parameter.id,sensors[5].parameter.name,sensors[5].parameter.units,sensors[6].id,sensors[6].name,sensors[6].parameter.displayName,sensors[6].parameter.id,sensors[6].parameter.name,sensors[6].parameter.units,sensors[7].id,sensors[7].name,sensors[7].parameter.displayName,sensors[7].parameter.id,sensors[7].parameter.name,sensors[7].parameter.units,timezone
-95.94028,36.71006,-95.94028,36.71006,36.71006,-95.94028,US,155,United States,,2025-04-04T09:00:00-05:00,2025-04-04T14:00:00Z,,2025-07-15T10:00:00-05:00,2025-07-15T15:00:00Z,,3955811,7,AirGradient Sensor,,,False,False,,Mark Janda,,2023-07-15,,41,CC BY 4.0,,2809 Kingston Ct - Outdoors,11421,Mark Janda,66,AirGradient,12680383,pm1 µg/m³,PM1,19,pm1,µg/m³,12680384,pm25 µg/m³,PM2.5,2,pm25,µg/m³,12680385,relativehumidity %,RH,98,relativehumidity,%,12680386,temperature c,Temperature (C),100,temperature,c,12680387,um003 particles/cm³,PM0.3 count,125,um003,particles/cm³,,,,,,,,,,,,,,,,,,,America/Chicago
5.29236,52.047597,5.29236,52.047597,52.047597,5.29236,NL,94,Netherlands,,2025-04-05T08:00:00+02:00,2025-04-05T06:00:00Z,,2025-07-19T14:00:00+02:00,2025-07-19T12:00:00Z,,3964384,7,AirGradient Sensor,,,False,False,,Unknown Person,,2023-07-15,,41,CC BY 4.0,,Driebergen-Rijsenburg,11509,Unknown Person,66,AirGradient,12686550,pm1 µg/m³,PM1,19,pm1,µg/m³,12686551,pm25 µg/m³,PM2.5,2,pm25,µg/m³,12686552,relativehumidity %,RH,98,relativehumidity,%,12686553,temperature c,Temperature (C),100,temperature,c,12686554,um003 particles/cm³,PM0.3 count,125,um003,particles/cm³,,,,,,,,,,,,,,,,,,,Europe/Amsterdam
26.11988581603482,44.47802617035037,26.11988581603482,44.47802617035037,44.47802617035037,26.11988581603482,RO,74,Romania,,2025-04-06T11:00:00+03:00,2025-04-06T08:00:00Z,,2025-07-19T15:00:00+03:00,2025-07-19T12:00:00Z,,3977252,7,AirGradient Sensor,,,False,False,,Unknown Person,,2023-07-15,,41,CC BY 4.0,,Str G Bucharest - Pipera ,11509,Unknown Person,66,AirGradient,12696782,pm1 µg/m³,PM1,19,pm1,µg/m³,12696783,pm25 µg/m³,PM2.5,2,pm25,µg/m³,12696784,relativehumidity %,RH,98,relativehumidity,%,12696785,temperature c,Temperature (C),100,temperature,c,12696786,um003 particles/cm³,PM0.3 count,125,um003,particles/cm³,,,,,,,,,,,,,,,,,,,Europe/Bucharest
152.99428148170648,-27.464434509446765,152.99428148170648,-27.464434509446765,-27.464434509446765,152.99428148170648,AU,177,Australia,,2025-04-07T17:00:00+10:00,2025-04-07T07:00:00Z,,2025-07-19T22:00:00+10:00,2025-07-19T12:00:00Z,,3986911,7,AirGradient Sensor,,,False,False,,Unknown Person,,2023-07-15,,41,CC BY 4.0,,99ElizabethSt,11509,Unknown Person,66,AirGradient,12705100,pm1 µg/m³,PM1,19,pm1,µg/m³,12705101,pm25 µg/m³,PM2.5,2,pm25,µg/m³,12705102,relativehumidity %,RH,98,relativehumidity,%,12705103,temperature c,Temperature (C),100,temperature,c,12705104,um003 particles/cm³,PM0.3 count,125,um003,particles/cm³,,,,,,,,,,,,,,,,,,,Australia/Brisbane
120.98664,14.47822,120.98664,14.47822,14.47822,120.98664,PH,183,Philippines,,2025-04-07T21:04:13+08:00,2025-04-07T13:04:13Z,,2025-07-19T20:01:35+08:00,2025-07-19T12:01:35Z,,3990424,4,Clarity Sensor,,,False,False,,Clarity,,2021-10-20,,38,CC0 1.0,,C5 Ext. Las Pinas,9,Clarity,166,Clarity,12707935,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia/Manila
121.05675,14.57863,121.05675,14.57863,14.57863,121.05675,PH,183,Philippines,,2025-04-07T21:03:35+08:00,2025-04-07T13:03:35Z,,2025-07-19T20:06:39+08:00,2025-07-19T12:06:39Z,,3990425,4,Clarity Sensor,,,False,False,,Clarity,,2021-10-20,,38,CC0 1.0,,Along Shaw Blvd.,9,Clarity,166,Clarity,12707934,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia/Manila
121.04569,14.45627,121.04569,14.45627,14.45627,121.04569,PH,183,Philippines,,2025-04-07T21:02:15+08:00,2025-04-07T13:02:15Z,,2025-07-19T20:00:39+08:00,2025-07-19T12:00:39Z,,3990426,4,Clarity Sensor,,,False,False,,Clarity,,2021-10-20,,38,CC0 1.0,,Near Sucat Interchange/Exit,9,Clarity,166,Clarity,12707936,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia/Manila
4.352861115880019,52.06977795688368,4.352861115880019,52.06977795688368,52.06977795688368,4.352861115880019,NL,94,Netherlands,,2025-04-07T19:00:00+02:00,2025-04-07T17:00:00Z,,2025-07-19T14:00:00+02:00,2025-07-19T12:00:00Z,,3991941,7,AirGradient Sensor,,,False,False,,Unknown Person,,2023-07-15,,41,CC BY 4.0,,Reapr Café Voorburg,11509,Unknown Person,66,AirGradient,12709175,pm1 µg/m³,PM1,19,pm1,µg/m³,12709176,pm25 µg/m³,PM2.5,2,pm25,µg/m³,12709177,relativehumidity %,RH,98,relativehumidity,%,12709178,temperature c,Temperature (C),100,temperature,c,12709179,um003 particles/cm³,PM0.3 count,125,um003,particles/cm³,,,,,,,,,,,,,,,,,,,Europe/Amsterdam
-106.66593,35.00719,-106.66593,35.00719,35.00719,-106.66593,US,155,United States,,2025-04-07T14:00:54-06:00,2025-04-07T20:00:54Z,,2025-07-19T06:04:07-06:00,2025-07-19T12:04:07Z,,3993932,4,Clarity Sensor,,,False,False,,Clarity,,2021-10-20,,38,CC0 1.0,,Community Sensor #3,9,Clarity,166,Clarity,12710688,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America/Denver
102.61723189596404,17.937650817948654,102.61723189596404,17.937650817948654,17.937650817948654,102.61723189596404,LA,68,Lao PDR,,2025-04-08T14:00:00+07:00,2025-04-08T07:00:00Z,,2025-07-19T19:00:00+07:00,2025-07-19T12:00:00Z,,3998818,7,AirGradient Sensor,,,False,False,,AirGradient,,2023-07-15,,41,CC BY 4.0,,UNICEF Lao PDR CO,12,AirGradient,66,AirGradient,12714978,pm1 µg/m³,PM1,19,pm1,µg/m³,12714979,pm25 µg/m³,PM2.5,2,pm25,µg/m³,12714980,relativehumidity %,RH,98,relativehumidity,%,12714981,temperature c,Temperature (C),100,temperature,c,12714982,um003 particles/cm³,PM0.3 count,125,um003,particles/cm³,,,,,,,,,,,,,,,,,,,Asia/Vientiane
