bounds[0],bounds[1],bounds[2],bounds[3],coordinates.latitude,coordinates.longitude,country.code,country.id,country.name,datetimeFirst.local,datetimeFirst.utc,datetimeLast.local,datetimeLast.utc,distance,id,instruments[0].id,instruments[0].name,isMobile,isMonitor,licenses,licenses[0].attribution.name,licenses[0].attribution.url,licenses[0].dateFrom,licenses[0].dateTo,licenses[0].id,licenses[0].name,locality,name,owner.id,owner.name,provider.id,provider.name,sensors[0].id,sensors[0].name,sensors[0].parameter.displayName,sensors[0].parameter.id,sensors[0].parameter.name,sensors[0].parameter.units,sensors[1].id,sensors[1].name,sensors[1].parameter.displayName,sensors[1].parameter.id,sensors[1].parameter.name,sensors[1].parameter.units,sensors[2].id,sensors[2].name,sensors[2].parameter.displayName,sensors[2].parameter.id,sensors[2].parameter.name,sensors[2].parameter.units,sensors[3].id,sensors[3].name,sensors[3].parameter.displayName,sensors[3].parameter.id,sensors[3].parameter.name,sensors[3].parameter.units,sensors[4].id,sensors[4].name,sensors[4].parameter.displayName,sensors[4].parameter.id,sensors[4].parameter.name,sensors[4].parameter.units,sensors[5].id,sensors[5].name,sensors[5].parameter.displayName,sensors[5].parameter.id,sensors[5].parameter.name,sensors[5].parameter.units,timezone
21.770150999886138,39.56081900007721,21.770150999886138,39.56081900007721,39.56081900007721,21.770150999886138,GR,80,Greece,2025-08-21T05:00:00+03:00,2025-08-21T02:00:00Z,2025-08-26T08:00:00+03:00,2025-08-26T05:00:00Z,,5526241,2,Government Monitor,False,True,,Unknown Governmental Organization,,2016-11-17,,10,ODC-BY,,TRIKALA,4,Unknown Governmental Organization,70,EEA,13931339,co µg/m³,CO mass,4,co,µg/m³,13931344,no2 µg/m³,NO₂ mass,5,no2,µg/m³,13931333,so2 µg/m³,SO₂ mass,6,so2,µg/m³,,,,,,,,,,,,,,,,,,,Europe/Athens
22.95084000019857,39.365845999896386,22.95084000019857,39.365845999896386,39.365845999896386,22.95084000019857,GR,80,Greece,2025-08-21T05:00:00+03:00,2025-08-21T02:00:00Z,2025-08-26T08:00:00+03:00,2025-08-26T05:00:00Z,,5526242,2,Government Monitor,False,True,,Unknown Governmental Organization,,2016-11-17,,10,ODC-BY,,VOLOS-3,4,Unknown Governmental Organization,70,EEA,13931341,co µg/m³,CO mass,4,co,µg/m³,13931351,no2 µg/m³,NO₂ mass,5,no2,µg/m³,13931338,so2 µg/m³,SO₂ mass,6,so2,µg/m³,,,,,,,,,,,,,,,,,,,Europe/Athens
22.969258000365386,39.359829999955146,22.969258000365386,39.359829999955146,39.359829999955146,22.969258000365386,GR,80,Greece,2025-08-21T05:00:00+03:00,2025-08-21T02:00:00Z,2025-08-26T08:00:00+03:00,2025-08-26T05:00:00Z,,5526243,2,Government Monitor,False,True,,Unknown Governmental Organization,,2016-11-17,,10,ODC-BY,,VOLOS-4,4,Unknown Governmental Organization,70,EEA,13931334,no2 µg/m³,NO₂ mass,5,no2,µg/m³,13931346,pm10 µg/m³,PM10,1,pm10,µg/m³,13931332,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,Europe/Athens
95.3295996,29.7262683,95.3295996,29.7262683,29.7262683,95.3295996,CN,10,China,2025-08-23T07:00:00+08:00,2025-08-22T23:00:00Z,2025-08-26T14:00:00+08:00,2025-08-26T06:00:00Z,,5526280,7,AirGradient Sensor,False,False,,AirGradient,,2023-07-15,,41,CC BY 4.0,,Broadmoor & Munger,12,AirGradient,66,AirGradient,13931615,pm1 µg/m³,PM1,19,pm1,µg/m³,13931616,pm25 µg/m³,PM2.5,2,pm25,µg/m³,13931617,relativehumidity %,RH,98,relativehumidity,%,13931618,temperature c,Temperature (C),100,temperature,c,13931619,um003 particles/cm³,PM0.3 count,125,um003,particles/cm³,,,,,,,Asia/Shanghai
9.461200000060009,50.79723999992208,9.461200000060009,50.79723999992208,50.79723999992208,9.461200000060009,DE,50,Germany,2025-08-20T05:00:00+02:00,2025-08-20T03:00:00Z,2025-08-26T07:00:00+02:00,2025-08-26T05:00:00Z,,5526773,2,Government Monitor,False,True,,Unknown Governmental Organization,,2016-11-17,,10,ODC-BY,Breitenbach am Herzb,Rimberg,4,Unknown Governmental Organization,70,EEA,13931889,no2 µg/m³,NO₂ mass,5,no2,µg/m³,13931891,o3 µg/m³,O₃ mass,3,o3,µg/m³,13931887,pm10 µg/m³,PM10,1,pm10,µg/m³,13931892,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,Europe/Berlin
-105.21181,39.97269,-105.21181,39.97269,39.97269,-105.21181,US,155,United States,2025-08-22T19:00:00-06:00,2025-08-23T01:00:00Z,2025-08-26T00:00:00-06:00,2025-08-26T06:00:00Z,,5527265,7,AirGradient Sensor,False,False,,AirGradient,,2023-07-15,,41,CC BY 4.0,,TBS,12,AirGradient,66,AirGradient,13932165,pm1 µg/m³,PM1,19,pm1,µg/m³,13932166,pm25 µg/m³,PM2.5,2,pm25,µg/m³,13932167,relativehumidity %,RH,98,relativehumidity,%,13932168,temperature c,Temperature (C),100,temperature,c,13932169,um003 particles/cm³,PM0.3 count,125,um003,particles/cm³,,,,,,,America/Denver
-122.2135,47.72215,-122.2135,47.72215,47.72215,-122.2135,US,155,United States,2025-08-22T19:00:00-07:00,2025-08-23T02:00:00Z,2025-08-25T23:00:00-07:00,2025-08-26T06:00:00Z,,5527791,7,AirGradient Sensor,False,False,,AirGradient,,2023-07-15,,41,CC BY 4.0,,North Finn Hill,12,AirGradient,66,AirGradient,13932696,pm1 µg/m³,PM1,19,pm1,µg/m³,13932697,pm25 µg/m³,PM2.5,2,pm25,µg/m³,13932698,relativehumidity %,RH,98,relativehumidity,%,13932699,temperature c,Temperature (C),100,temperature,c,13932700,um003 particles/cm³,PM0.3 count,125,um003,particles/cm³,,,,,,,America/Los_Angeles
-117.6039,33.4722802,-117.6039,33.4722802,33.4722802,-117.6039,US,155,United States,2025-08-22T22:00:00-07:00,2025-08-23T05:00:00Z,2025-08-25T23:00:00-07:00,2025-08-26T06:00:00Z,,5529742,7,AirGradient Sensor,False,False,,AirGradient,,2023-07-15,,41,CC BY 4.0,,San Clemente,12,AirGradient,66,AirGradient,13933734,pm1 µg/m³,PM1,19,pm1,µg/m³,13933735,pm25 µg/m³,PM2.5,2,pm25,µg/m³,13933736,relativehumidity %,RH,98,relativehumidity,%,13933737,temperature c,Temperature (C),100,temperature,c,13933738,um003 particles/cm³,PM0.3 count,125,um003,particles/cm³,,,,,,,America/Los_Angeles
55.3752651,25.1214328,55.3752651,25.1214328,25.1214328,55.3752651,AE,59,United Arab Emirates,2025-08-23T14:00:00+04:00,2025-08-23T10:00:00Z,2025-08-26T10:00:00+04:00,2025-08-26T06:00:00Z,,5531836,7,AirGradient Sensor,False,False,,AirGradient,,2023-07-15,,41,CC BY 4.0,,Dubai Silicon Oasis,12,AirGradient,66,AirGradient,13935695,pm1 µg/m³,PM1,19,pm1,µg/m³,13935696,pm25 µg/m³,PM2.5,2,pm25,µg/m³,13935697,relativehumidity %,RH,98,relativehumidity,%,13935698,temperature c,Temperature (C),100,temperature,c,13935699,um003 particles/cm³,PM0.3 count,125,um003,particles/cm³,,,,,,,Asia/Dubai
5.307546934753289,52.39935427513676,5.307546934753289,52.39935427513676,52.39935427513676,5.307546934753289,NL,94,Netherlands,2025-08-23T19:00:00+02:00,2025-08-23T17:00:00Z,2025-08-23T19:00:00+02:00,2025-08-23T17:00:00Z,,5534891,7,AirGradient Sensor,False,False,,AirGradient,,2023-07-15,,41,CC BY 4.0,,"Almere Buiten, Eilandenbuurt",12,AirGradient,66,AirGradient,13938135,pm1 µg/m³,PM1,19,pm1,µg/m³,13938136,pm25 µg/m³,PM2.5,2,pm25,µg/m³,13938137,relativehumidity %,RH,98,relativehumidity,%,13938138,temperature c,Temperature (C),100,temperature,c,13938139,um003 particles/cm³,PM0.3 count,125,um003,particles/cm³,,,,,,,Europe/Amsterdam
